Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28b Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|Q92947|GCDH_HUMAN,"Glutaryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GCDH PE=1 SV=1",GCDH,1.4406E+5,1.9180E+5,1.3101E+5
sp|Q96B36|AKTS1_HUMAN,Proline-rich AKT1 substrate 1 OS=Homo sapiens OX=9606 GN=AKT1S1 PE=1 SV=1,AKT1S1,1.4822E+4,#N/A,1.0686E+4
sp|Q96NA2|RILP_HUMAN,Rab-interacting lysosomal protein OS=Homo sapiens OX=9606 GN=RILP PE=1 SV=1,RILP,1.3088E+5,1.5079E+5,1.3565E+5
sp|Q99574|NEUS_HUMAN,Neuroserpin OS=Homo sapiens OX=9606 GN=SERPINI1 PE=1 SV=1,SERPINI1,2.7723E+4,2.8895E+4,2.6797E+4
sp|Q99798|ACON_HUMAN,"Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2",ACO2,2.3685E+6,2.3970E+6,2.4599E+6
sp|Q9C0E8|LNP_HUMAN,Endoplasmic reticulum junction formation protein lunapark OS=Homo sapiens OX=9606 GN=LNPK PE=1 SV=2,LNPK,3.9135E+5,4.1309E+5,3.6704E+5
tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN,Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHV3OR16-9 PE=1 SV=1,IGHV3OR16-9,6.3542E+6,6.7500E+6,7.3085E+6
sp|O15321|TM9S1_HUMAN,Transmembrane 9 superfamily member 1 OS=Homo sapiens OX=9606 GN=TM9SF1 PE=1 SV=2,TM9SF1,1.2494E+4,2.0065E+4,#N/A
sp|O60762|DPM1_HUMAN,Dolichol-phosphate mannosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=DPM1 PE=1 SV=1,DPM1,4.8935E+4,4.9798E+4,4.5460E+4
sp|P01619|KV320_HUMAN,Immunoglobulin kappa variable 3-20 OS=Homo sapiens OX=9606 GN=IGKV3-20 PE=1 SV=2,IGKV3-20,7.3036E+6,7.5320E+6,6.8985E+6
sp|P02747|C1QC_HUMAN,Complement C1q subcomponent subunit C OS=Homo sapiens OX=9606 GN=C1QC PE=1 SV=3,C1QC,5.5120E+5,5.9122E+5,4.6234E+5
sp|P05556|ITB1_HUMAN,Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2,ITGB1,1.5178E+7,1.5203E+7,1.5435E+7
sp|P13807|GYS1_HUMAN,"Glycogen [starch] synthase, muscle OS=Homo sapiens OX=9606 GN=GYS1 PE=1 SV=2",GYS1,3.0025E+5,3.5066E+5,2.6905E+5
sp|P19397|CD53_HUMAN,Leukocyte surface antigen CD53 OS=Homo sapiens OX=9606 GN=CD53 PE=1 SV=1,CD53,5.3597E+4,4.7972E+4,5.8217E+4
sp|P25787|PSA2_HUMAN,Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2,PSMA2,1.6367E+6,1.6872E+6,1.6722E+6
sp|P40197|GPV_HUMAN,Platelet glycoprotein V OS=Homo sapiens OX=9606 GN=GP5 PE=1 SV=1,GP5,1.5830E+7,1.4887E+7,1.4256E+7
sp|P46459|NSF_HUMAN,Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=3,NSF,3.3021E+5,3.2087E+5,3.7103E+5
sp|P60033|CD81_HUMAN,CD81 antigen OS=Homo sapiens OX=9606 GN=CD81 PE=1 SV=1,CD81,9.5488E+4,7.5668E+4,7.7388E+4
sp|Q13907|IDI1_HUMAN,Isopentenyl-diphosphate Delta-isomerase 1 OS=Homo sapiens OX=9606 GN=IDI1 PE=1 SV=2,IDI1,1.0782E+4,2.5524E+4,#N/A
sp|Q15172|2A5A_HUMAN,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R5A PE=1 SV=1,PPP2R5A,1.8441E+5,1.6686E+5,1.6736E+5
sp|Q6ICI0|LHPL7_HUMAN,LHFPL tetraspan subfamily member 7 protein OS=Homo sapiens OX=9606 GN=LHFPL7 PE=2 SV=2,LHFPL7,#N/A,#N/A,#N/A
sp|Q6PRD1|GP179_HUMAN,Probable G-protein coupled receptor 179 OS=Homo sapiens OX=9606 GN=GPR179 PE=1 SV=2,GPR179,#N/A,#N/A,#N/A
sp|Q86SQ4|AGRG6_HUMAN,Adhesion G-protein coupled receptor G6 OS=Homo sapiens OX=9606 GN=ADGRG6 PE=1 SV=3,ADGRG6,1.4014E+5,1.0630E+5,1.2883E+5
sp|Q92844|TANK_HUMAN,TRAF family member-associated NF-kappa-B activator OS=Homo sapiens OX=9606 GN=TANK PE=1 SV=2,TANK,#N/A,#N/A,#N/A
sp|Q96H15|TIMD4_HUMAN,T-cell immunoglobulin and mucin domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TIMD4 PE=1 SV=2,TIMD4,3.2002E+4,3.9137E+4,3.9231E+4
sp|Q96HC4|PDLI5_HUMAN,PDZ and LIM domain protein 5 OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=5,PDLIM5,4.6196E+6,4.7626E+6,4.8678E+6
sp|Q96S19|MTL26_HUMAN,Methyltransferase-like 26 OS=Homo sapiens OX=9606 GN=METTL26 PE=1 SV=2,METTL26,1.1443E+5,1.3896E+5,1.1980E+5
sp|Q96S66|CLCC1_HUMAN,Chloride channel CLIC-like protein 1 OS=Homo sapiens OX=9606 GN=CLCC1 PE=1 SV=1,CLCC1,1.3919E+5,1.3732E+5,1.5958E+5
sp|Q99873|ANM1_HUMAN,Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=3,PRMT1,9.5761E+4,1.0228E+5,8.3961E+4
sp|Q9H4E7|DEFI6_HUMAN,Differentially expressed in FDCP 6 homolog OS=Homo sapiens OX=9606 GN=DEF6 PE=1 SV=1,DEF6,7.2914E+4,1.2274E+5,7.0734E+4
sp|Q9NP58|ABCB6_HUMAN,ATP-binding cassette sub-family B member 6 OS=Homo sapiens OX=9606 GN=ABCB6 PE=1 SV=1,ABCB6,2.5025E+5,4.7167E+5,3.6043E+5
sp|Q9UKM7|MA1B1_HUMAN,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN1B1 PE=1 SV=2",MAN1B1,8.0027E+4,8.1443E+4,5.9878E+4
sp|Q9Y263|PLAP_HUMAN,Phospholipase A-2-activating protein OS=Homo sapiens OX=9606 GN=PLAA PE=1 SV=2,PLAA,3.9165E+5,3.5932E+5,3.1053E+5
sp|Q9Y2L5|TPPC8_HUMAN,Trafficking protein particle complex subunit 8 OS=Homo sapiens OX=9606 GN=TRAPPC8 PE=1 SV=2,TRAPPC8,2.5551E+5,1.1600E+5,6.5374E+4
sp|O14964|HGS_HUMAN,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens OX=9606 GN=HGS PE=1 SV=1,HGS,2.5278E+5,2.4730E+5,2.7307E+5
sp|O95602|RPA1_HUMAN,DNA-directed RNA polymerase I subunit RPA1 OS=Homo sapiens OX=9606 GN=POLR1A PE=1 SV=2,POLR1A,#N/A,#N/A,#N/A
sp|O95873|CF047_HUMAN,Uncharacterized protein C6orf47 OS=Homo sapiens OX=9606 GN=C6orf47 PE=1 SV=2,C6orf47,2.4909E+4,4.1499E+5,4.6582E+4
sp|P05155|IC1_HUMAN,Plasma protease C1 inhibitor OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=2,SERPING1,3.9078E+8,4.1168E+8,4.0602E+8
sp|P24821|TENA_HUMAN,Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3,TNC,1.2848E+7,1.2954E+7,1.3062E+7
sp|P27449|VATL_HUMAN,V-type proton ATPase 16 kDa proteolipid subunit c OS=Homo sapiens OX=9606 GN=ATP6V0C PE=1 SV=1,ATP6V0C,1.9078E+5,1.9088E+5,1.7134E+5
sp|P35813|PPM1A_HUMAN,Protein phosphatase 1A OS=Homo sapiens OX=9606 GN=PPM1A PE=1 SV=1,PPM1A,1.3116E+6,1.2853E+6,1.2654E+6
sp|P40925|MDHC_HUMAN,"Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4",MDH1,2.6647E+6,2.5896E+6,2.6137E+6
sp|P54252|ATX3_HUMAN,Ataxin-3 OS=Homo sapiens OX=9606 GN=ATXN3 PE=1 SV=5,ATXN3,6.9823E+4,4.4123E+4,7.1547E+4
sp|Q00013|EM55_HUMAN,55 kDa erythrocyte membrane protein OS=Homo sapiens OX=9606 GN=MPP1 PE=1 SV=2,MPP1,1.8900E+6,1.8280E+6,1.8731E+6
sp|Q15323|K1H1_HUMAN,"Keratin, type I cuticular Ha1 OS=Homo sapiens OX=9606 GN=KRT31 PE=1 SV=3",KRT31,5.6154E+5,5.2327E+5,5.2814E+5
sp|Q32MZ4|LRRF1_HUMAN,Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens OX=9606 GN=LRRFIP1 PE=1 SV=2,LRRFIP1,6.4203E+5,6.4823E+5,6.1681E+5
sp|Q6VN20|RBP10_HUMAN,Ran-binding protein 10 OS=Homo sapiens OX=9606 GN=RANBP10 PE=1 SV=1,RANBP10,1.1505E+4,9.4348E+3,3.6553E+3
sp|Q6ZS11|RINL_HUMAN,Ras and Rab interactor-like protein OS=Homo sapiens OX=9606 GN=RINL PE=1 SV=2,RINL,4.8587E+4,4.5793E+4,5.0235E+4
sp|Q8IX19|MCEM1_HUMAN,Mast cell-expressed membrane protein 1 OS=Homo sapiens OX=9606 GN=MCEMP1 PE=1 SV=1,MCEMP1,5.6946E+4,9.8911E+4,1.1099E+5
sp|Q8N9N8|EIF1A_HUMAN,Probable RNA-binding protein EIF1AD OS=Homo sapiens OX=9606 GN=EIF1AD PE=1 SV=1,EIF1AD,8.5129E+3,1.0253E+4,9.9747E+3
sp|Q8WW59|SPRY4_HUMAN,SPRY domain-containing protein 4 OS=Homo sapiens OX=9606 GN=SPRYD4 PE=1 SV=3,SPRYD4,8.8279E+4,3.1587E+4,1.1697E+5
sp|Q96NT0|CC115_HUMAN,Coiled-coil domain-containing protein 115 OS=Homo sapiens OX=9606 GN=CCDC115 PE=1 SV=1,CCDC115,6.5225E+4,5.8260E+4,5.5321E+4
sp|Q9BY32|ITPA_HUMAN,Inosine triphosphate pyrophosphatase OS=Homo sapiens OX=9606 GN=ITPA PE=1 SV=2,ITPA,5.4690E+4,1.1499E+5,6.3723E+4
sp|Q9P270|SLAI2_HUMAN,SLAIN motif-containing protein 2 OS=Homo sapiens OX=9606 GN=SLAIN2 PE=1 SV=2,SLAIN2,1.0555E+6,1.0112E+6,1.0339E+6
sp|Q9UHY7|ENOPH_HUMAN,Enolase-phosphatase E1 OS=Homo sapiens OX=9606 GN=ENOPH1 PE=1 SV=1,ENOPH1,1.1540E+5,1.1028E+5,1.1013E+5
sp|Q9UKE5|TNIK_HUMAN,TRAF2 and NCK-interacting protein kinase OS=Homo sapiens OX=9606 GN=TNIK PE=1 SV=1,TNIK,7.8924E+5,8.5853E+5,8.6961E+5
sp|Q9ULJ3|ZBT21_HUMAN,Zinc finger and BTB domain-containing protein 21 OS=Homo sapiens OX=9606 GN=ZBTB21 PE=1 SV=2,ZBTB21,1.0295E+4,#N/A,#N/A
sp|Q9Y5B0|CTDP1_HUMAN,RNA polymerase II subunit A C-terminal domain phosphatase OS=Homo sapiens OX=9606 GN=CTDP1 PE=1 SV=3,CTDP1,3.7343E+3,3.9825E+3,#N/A
sp|A9UHW6|MI4GD_HUMAN,MIF4G domain-containing protein OS=Homo sapiens OX=9606 GN=MIF4GD PE=1 SV=1,MIF4GD,7.5170E+4,7.6842E+4,7.2732E+4
sp|O00533|NCHL1_HUMAN,Neural cell adhesion molecule L1-like protein OS=Homo sapiens OX=9606 GN=CHL1 PE=1 SV=4,CHL1,5.8705E+5,5.8729E+5,6.4447E+5
sp|O14874|BCKD_HUMAN,Branched-chain alpha-ketoacid dehydrogenase kinase OS=Homo sapiens OX=9606 GN=BCKDK PE=1 SV=2,BCKDK,2.1123E+4,7.1698E+4,7.0675E+4
sp|O60524|NEMF_HUMAN,Ribosome quality control complex subunit NEMF OS=Homo sapiens OX=9606 GN=NEMF PE=1 SV=4,NEMF,2.4683E+4,1.7351E+4,2.6534E+4
sp|P10643|CO7_HUMAN,Complement component C7 OS=Homo sapiens OX=9606 GN=C7 PE=1 SV=2,C7,1.6641E+6,1.8571E+6,1.8627E+6
sp|P11166|GTR1_HUMAN,"Solute carrier family 2, facilitated glucose transporter member 1 OS=Homo sapiens OX=9606 GN=SLC2A1 PE=1 SV=2",SLC2A1,1.3287E+5,1.2363E+5,1.2577E+5
sp|P12110|CO6A2_HUMAN,Collagen alpha-2(VI) chain OS=Homo sapiens OX=9606 GN=COL6A2 PE=1 SV=4,COL6A2,9.2652E+4,9.1754E+4,8.5052E+4
sp|P23141|EST1_HUMAN,Liver carboxylesterase 1 OS=Homo sapiens OX=9606 GN=CES1 PE=1 SV=2,CES1,1.4927E+5,1.2495E+5,1.2789E+5
sp|P49902|5NTC_HUMAN,Cytosolic purine 5'-nucleotidase OS=Homo sapiens OX=9606 GN=NT5C2 PE=1 SV=1,NT5C2,6.0033E+4,5.0320E+4,5.9570E+4
sp|P50336|PPOX_HUMAN,Protoporphyrinogen oxidase OS=Homo sapiens OX=9606 GN=PPOX PE=1 SV=1,PPOX,1.7414E+5,1.9511E+5,1.9495E+5
sp|P54922|ADPRH_HUMAN,ADP-ribosylhydrolase ARH1 OS=Homo sapiens OX=9606 GN=ADPRH PE=1 SV=1,ADPRH,2.4171E+5,2.4413E+5,2.3206E+5
sp|Q12851|M4K2_HUMAN,Mitogen-activated protein kinase kinase kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP4K2 PE=1 SV=2,MAP4K2,1.8762E+5,2.3396E+5,2.0876E+5
sp|Q13505|MTX1_HUMAN,Metaxin-1 OS=Homo sapiens OX=9606 GN=MTX1 PE=1 SV=3,MTX1,7.0256E+4,7.8721E+4,8.3690E+4
sp|Q13724|MOGS_HUMAN,Mannosyl-oligosaccharide glucosidase OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=5,MOGS,4.4909E+5,5.3780E+5,4.9049E+5
sp|Q15063|POSTN_HUMAN,Periostin OS=Homo sapiens OX=9606 GN=POSTN PE=1 SV=2,POSTN,6.9497E+4,6.0559E+4,5.2775E+4
sp|Q6EMK4|VASN_HUMAN,Vasorin OS=Homo sapiens OX=9606 GN=VASN PE=1 SV=1,VASN,3.7523E+5,3.6811E+5,3.6420E+5
sp|Q6NVY1|HIBCH_HUMAN,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HIBCH PE=1 SV=2",HIBCH,5.0648E+5,5.5909E+5,4.8372E+5
sp|Q8N3D4|EH1L1_HUMAN,EH domain-binding protein 1-like protein 1 OS=Homo sapiens OX=9606 GN=EHBP1L1 PE=1 SV=2,EHBP1L1,8.9107E+5,9.6033E+5,9.5900E+5
sp|Q92574|TSC1_HUMAN,Hamartin OS=Homo sapiens OX=9606 GN=TSC1 PE=1 SV=2,TSC1,4.2405E+3,2.4208E+3,2.4037E+3
sp|Q96A49|SYAP1_HUMAN,Synapse-associated protein 1 OS=Homo sapiens OX=9606 GN=SYAP1 PE=1 SV=1,SYAP1,5.7696E+4,3.8432E+4,4.8088E+4
sp|Q96C19|EFHD2_HUMAN,EF-hand domain-containing protein D2 OS=Homo sapiens OX=9606 GN=EFHD2 PE=1 SV=1,EFHD2,8.4132E+4,8.8200E+4,9.7902E+4
sp|Q9BUQ8|DDX23_HUMAN,Probable ATP-dependent RNA helicase DDX23 OS=Homo sapiens OX=9606 GN=DDX23 PE=1 SV=3,DDX23,4.2662E+4,#N/A,#N/A
sp|Q9GZU2|PEG3_HUMAN,Paternally-expressed gene 3 protein OS=Homo sapiens OX=9606 GN=PEG3 PE=1 SV=1,PEG3,3.5011E+4,3.2301E+4,5.0763E+4
sp|Q9P1Q0|VPS54_HUMAN,Vacuolar protein sorting-associated protein 54 OS=Homo sapiens OX=9606 GN=VPS54 PE=1 SV=2,VPS54,7.1597E+3,1.3245E+4,5.5192E+3
sp|Q9UNH7|SNX6_HUMAN,Sorting nexin-6 OS=Homo sapiens OX=9606 GN=SNX6 PE=1 SV=1,SNX6,1.2707E+5,1.6257E+5,1.4662E+5
sp|Q9Y277|VDAC3_HUMAN,Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1,VDAC3,5.1676E+6,5.0321E+6,5.1304E+6
sp|O75695|XRP2_HUMAN,Protein XRP2 OS=Homo sapiens OX=9606 GN=RP2 PE=1 SV=4,RP2,5.6253E+5,5.8824E+5,5.6391E+5
sp|O95685|PPR3D_HUMAN,Protein phosphatase 1 regulatory subunit 3D OS=Homo sapiens OX=9606 GN=PPP1R3D PE=1 SV=1,PPP1R3D,1.0050E+5,1.1997E+5,1.9529E+5
sp|P02768|ALBU_HUMAN,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,ALB,7.7559E+8,7.7076E+8,7.5905E+8
sp|P19404|NDUV2_HUMAN,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV2 PE=1 SV=2",NDUFV2,4.5833E+5,3.8834E+5,4.6623E+5
sp|P49356|FNTB_HUMAN,Protein farnesyltransferase subunit beta OS=Homo sapiens OX=9606 GN=FNTB PE=1 SV=1,FNTB,2.3440E+5,9.4949E+4,2.0132E+5
sp|P49419|AL7A1_HUMAN,Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH7A1 PE=1 SV=5,ALDH7A1,1.5521E+5,2.0017E+5,1.5844E+5
sp|P63241|IF5A1_HUMAN,Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens OX=9606 GN=EIF5A PE=1 SV=2,EIF5A,8.6798E+4,5.4186E+4,7.3509E+4
sp|Q13637|RAB32_HUMAN,Ras-related protein Rab-32 OS=Homo sapiens OX=9606 GN=RAB32 PE=1 SV=3,RAB32,1.7468E+6,1.8109E+6,1.9043E+6
sp|Q15008|PSMD6_HUMAN,26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1,PSMD6,3.0745E+5,2.7099E+5,3.0032E+5
sp|Q15102|PA1B3_HUMAN,Platelet-activating factor acetylhydrolase IB subunit alpha1 OS=Homo sapiens OX=9606 GN=PAFAH1B3 PE=1 SV=1,PAFAH1B3,1.3016E+5,1.1710E+5,9.2556E+4
sp|Q53ET0|CRTC2_HUMAN,CREB-regulated transcription coactivator 2 OS=Homo sapiens OX=9606 GN=CRTC2 PE=1 SV=2,CRTC2,9.1267E+4,8.7521E+4,1.1767E+5
sp|Q5U5X8|F222A_HUMAN,Protein FAM222A OS=Homo sapiens OX=9606 GN=FAM222A PE=1 SV=1,FAM222A,#N/A,#N/A,#N/A
sp|Q7Z3C6|ATG9A_HUMAN,Autophagy-related protein 9A OS=Homo sapiens OX=9606 GN=ATG9A PE=1 SV=3,ATG9A,1.3046E+5,2.5121E+5,1.5269E+5
sp|Q86VX2|COMD7_HUMAN,COMM domain-containing protein 7 OS=Homo sapiens OX=9606 GN=COMMD7 PE=1 SV=2,COMMD7,1.1141E+4,1.3475E+4,1.4435E+4
sp|Q8IXL6|FA20C_HUMAN,Extracellular serine/threonine protein kinase FAM20C OS=Homo sapiens OX=9606 GN=FAM20C PE=1 SV=2,FAM20C,1.3344E+5,1.5741E+5,1.2875E+5
sp|Q8WY22|BRI3B_HUMAN,BRI3-binding protein OS=Homo sapiens OX=9606 GN=BRI3BP PE=1 SV=1,BRI3BP,6.2349E+4,6.8185E+4,7.3801E+4
sp|Q92688|AN32B_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens OX=9606 GN=ANP32B PE=1 SV=1,ANP32B,9.1543E+4,9.5474E+4,8.7152E+4
sp|Q92743|HTRA1_HUMAN,Serine protease HTRA1 OS=Homo sapiens OX=9606 GN=HTRA1 PE=1 SV=1,HTRA1,2.3137E+4,2.8409E+4,2.4018E+4
sp|Q96IK0|TM101_HUMAN,Transmembrane protein 101 OS=Homo sapiens OX=9606 GN=TMEM101 PE=1 SV=1,TMEM101,#N/A,#N/A,#N/A
sp|Q9BXN1|ASPN_HUMAN,Asporin OS=Homo sapiens OX=9606 GN=ASPN PE=1 SV=2,ASPN,4.1673E+6,4.5414E+6,4.1203E+6
sp|Q9BZG1|RAB34_HUMAN,Ras-related protein Rab-34 OS=Homo sapiens OX=9606 GN=RAB34 PE=1 SV=1,RAB34,4.9108E+4,4.5699E+4,6.2207E+4
sp|Q9HCM2|PLXA4_HUMAN,Plexin-A4 OS=Homo sapiens OX=9606 GN=PLXNA4 PE=1 SV=4,PLXNA4,6.6693E+5,7.1907E+5,6.0946E+5
sp|Q9NRP0|OSTC_HUMAN,Oligosaccharyltransferase complex subunit OSTC OS=Homo sapiens OX=9606 GN=OSTC PE=1 SV=1,OSTC,2.7160E+5,3.0151E+5,3.3917E+5
sp|Q9UBX3|DIC_HUMAN,Mitochondrial dicarboxylate carrier OS=Homo sapiens OX=9606 GN=SLC25A10 PE=1 SV=2,SLC25A10,9.6071E+4,6.6529E+4,9.6463E+4
sp|Q9Y4H2|IRS2_HUMAN,Insulin receptor substrate 2 OS=Homo sapiens OX=9606 GN=IRS2 PE=1 SV=2,IRS2,1.9200E+5,1.9415E+5,2.1619E+5
sp|O15228|GNPAT_HUMAN,Dihydroxyacetone phosphate acyltransferase OS=Homo sapiens OX=9606 GN=GNPAT PE=1 SV=1,GNPAT,1.8275E+5,1.2429E+5,1.3932E+5
sp|O15438|MRP3_HUMAN,ATP-binding cassette sub-family C member 3 OS=Homo sapiens OX=9606 GN=ABCC3 PE=1 SV=3,ABCC3,3.3900E+5,3.5198E+5,3.9505E+5
sp|O43815|STRN_HUMAN,Striatin OS=Homo sapiens OX=9606 GN=STRN PE=1 SV=4,STRN,6.8842E+5,7.7244E+5,7.0690E+5
sp|O75425|MSPD3_HUMAN,Motile sperm domain-containing protein 3 OS=Homo sapiens OX=9606 GN=MOSPD3 PE=1 SV=1,MOSPD3,8.1498E+4,1.0693E+5,1.1117E+5
sp|O95183|VAMP5_HUMAN,Vesicle-associated membrane protein 5 OS=Homo sapiens OX=9606 GN=VAMP5 PE=1 SV=1,VAMP5,9.6745E+4,1.0009E+5,1.1705E+5
sp|O95382|M3K6_HUMAN,Mitogen-activated protein kinase kinase kinase 6 OS=Homo sapiens OX=9606 GN=MAP3K6 PE=1 SV=3,MAP3K6,#N/A,#N/A,3.4347E+3
sp|O95456|PSMG1_HUMAN,Proteasome assembly chaperone 1 OS=Homo sapiens OX=9606 GN=PSMG1 PE=1 SV=1,PSMG1,2.9565E+4,2.8795E+4,2.3478E+4
sp|P02749|APOH_HUMAN,Beta-2-glycoprotein 1 OS=Homo sapiens OX=9606 GN=APOH PE=1 SV=3,APOH,2.6965E+7,2.8253E+7,2.8000E+7
sp|P05997|CO5A2_HUMAN,Collagen alpha-2(V) chain OS=Homo sapiens OX=9606 GN=COL5A2 PE=1 SV=3,COL5A2,4.0645E+4,3.5381E+4,5.3896E+4
sp|P07737|PROF1_HUMAN,Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2,PFN1,7.9126E+7,8.5507E+7,7.9280E+7
sp|P19021|AMD_HUMAN,Peptidyl-glycine alpha-amidating monooxygenase OS=Homo sapiens OX=9606 GN=PAM PE=1 SV=2,PAM,3.8612E+5,3.1359E+5,3.3322E+5
sp|P20340|RAB6A_HUMAN,Ras-related protein Rab-6A OS=Homo sapiens OX=9606 GN=RAB6A PE=1 SV=3,RAB6A,1.1098E+6,1.1266E+6,1.1808E+6
sp|P25942|TNR5_HUMAN,Tumor necrosis factor receptor superfamily member 5 OS=Homo sapiens OX=9606 GN=CD40 PE=1 SV=1,CD40,3.3128E+5,3.3922E+5,3.2431E+5
sp|P36776|LONM_HUMAN,"Lon protease homolog, mitochondrial OS=Homo sapiens OX=9606 GN=LONP1 PE=1 SV=2",LONP1,2.1724E+5,2.3455E+5,2.1537E+5
sp|P99999|CYC_HUMAN,Cytochrome c OS=Homo sapiens OX=9606 GN=CYCS PE=1 SV=2,CYCS,4.0989E+5,3.8852E+5,4.0985E+5
sp|Q01628|IFM3_HUMAN / sp|Q01629|IFM2_HUMAN / sp|P13164|IFM1_HUMAN,"Interferon-induced transmembrane protein 3 OS=Homo sapiens OX=9606 GN=IFITM3 PE=1 SV=2
Interferon-induced transmembrane protein 2 OS=Homo sapiens OX=9606 GN=IFITM2 PE=1 SV=2
Interferon-induced transmembrane protein 1 OS=Homo sapiens OX=9606 GN=IFITM1 PE=1 SV=3",IFITM3 / IFITM2 / IFITM1,5.2851E+3,6.5572E+3,#N/A
sp|Q12933|TRAF2_HUMAN,TNF receptor-associated factor 2 OS=Homo sapiens OX=9606 GN=TRAF2 PE=1 SV=2,TRAF2,6.9403E+4,8.6636E+4,7.8352E+4
sp|Q6PGP7|SKI3_HUMAN,Superkiller complex protein 3 OS=Homo sapiens OX=9606 GN=SKIC3 PE=1 SV=1,SKIC3,3.7783E+5,4.5664E+5,3.8804E+5
sp|Q7Z7K0|COXM1_HUMAN,COX assembly mitochondrial protein homolog OS=Homo sapiens OX=9606 GN=CMC1 PE=1 SV=1,CMC1,3.1471E+4,2.6789E+4,3.1629E+4
sp|Q86X76|NIT1_HUMAN,Deaminated glutathione amidase OS=Homo sapiens OX=9606 GN=NIT1 PE=1 SV=2,NIT1,3.8975E+5,3.7975E+5,3.5720E+5
sp|Q8N5C8|TAB3_HUMAN,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 OS=Homo sapiens OX=9606 GN=TAB3 PE=1 SV=3,TAB3,2.6059E+4,1.7921E+4,2.4411E+4
sp|Q8N5I2|ARRD1_HUMAN,Arrestin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ARRDC1 PE=1 SV=1,ARRDC1,7.3281E+4,7.3939E+4,7.1368E+4
sp|Q8TBP5|F174A_HUMAN,Membrane protein FAM174A OS=Homo sapiens OX=9606 GN=FAM174A PE=1 SV=1,FAM174A,3.3542E+4,2.7572E+4,3.0714E+4
sp|Q8TD30|ALAT2_HUMAN,Alanine aminotransferase 2 OS=Homo sapiens OX=9606 GN=GPT2 PE=1 SV=1,GPT2,2.3973E+4,2.3520E+4,1.4046E+4
sp|Q96RP7|G3ST4_HUMAN,Galactose-3-O-sulfotransferase 4 OS=Homo sapiens OX=9606 GN=GAL3ST4 PE=1 SV=1,GAL3ST4,1.0749E+4,6.6339E+3,2.0096E+3
sp|Q9BTV4|TMM43_HUMAN,Transmembrane protein 43 OS=Homo sapiens OX=9606 GN=TMEM43 PE=1 SV=1,TMEM43,6.7216E+5,7.0137E+5,6.3470E+5
sp|Q9BTY7|HGH1_HUMAN,Protein HGH1 homolog OS=Homo sapiens OX=9606 GN=HGH1 PE=1 SV=1,HGH1,6.3866E+4,3.2964E+4,6.1860E+4
sp|Q9BYD2|RM09_HUMAN,Large ribosomal subunit protein bL9m OS=Homo sapiens OX=9606 GN=MRPL9 PE=1 SV=2,MRPL9,1.4163E+4,1.1867E+4,8.7776E+3
