Protein,Protein Description,Protein Gene,Actis_MixA_01 Sum Normalized Area,Actis_MixA_02 Sum Normalized Area,Actis_MixA_03 Sum Normalized Area,Actis_MixB_01 Sum Normalized Area,Actis_MixB_02 Sum Normalized Area,Actis_MixB_03 Sum Normalized Area,Actis_MixC_01 Sum Normalized Area,Actis_MixC_02 Sum Normalized Area,Actis_MixC_03 Sum Normalized Area,Actis_MixD_01 Sum Normalized Area,Actis_MixD_02 Sum Normalized Area,Actis_MixD_03 Sum Normalized Area,Actis_MixE_01 Sum Normalized Area,Actis_MixE_02 Sum Normalized Area,Actis_MixE_03 Sum Normalized Area,Actis_MixF_01 Sum Normalized Area,Actis_MixF_02 Sum Normalized Area,Actis_MixF_03 Sum Normalized Area,Actis_MixG_01 Sum Normalized Area,Actis_MixG_02 Sum Normalized Area,Actis_MixG_03 Sum Normalized Area,Actis_MixH_01 Sum Normalized Area,Actis_MixH_02 Sum Normalized Area,Actis_MixH_03 Sum Normalized Area,Actis_MixI_01 Sum Normalized Area,Actis_MixI_02 Sum Normalized Area,Actis_MixI_03 Sum Normalized Area,Actis_MixJ_01 Sum Normalized Area,Actis_MixJ_02 Sum Normalized Area,Actis_MixJ_03 Sum Normalized Area,Actis_MixK_01 Sum Normalized Area,Actis_MixK_02 Sum Normalized Area,Actis_MixK_03 Sum Normalized Area,Actis_MixL_01 Sum Normalized Area,Actis_MixL_02 Sum Normalized Area,Actis_MixL_03 Sum Normalized Area,Actis_MixM_01 Sum Normalized Area,Actis_MixM_02 Sum Normalized Area,Actis_MixM_03 Sum Normalized Area,Actis_MixN_01 Sum Normalized Area,Actis_MixN_02 Sum Normalized Area,Actis_MixN_03 Sum Normalized Area
sp|O95159|ZFPL1_HUMAN,Zinc finger protein-like 1 OS=Homo sapiens OX=9606 GN=ZFPL1 PE=1 SV=2,ZFPL1,1.7603E+5,1.4178E+5,1.5644E+5,1.2576E+5,1.2061E+5,1.0059E+5,9.8458E+4,8.2829E+4,7.8606E+4,3.9184E+4,5.5054E+4,5.3333E+4,4.6085E+3,#N/A,7.3319E+3,2.3486E+3,#N/A,#N/A,#N/A,5.9736E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P01854|IGHE_HUMAN,Immunoglobulin heavy constant epsilon OS=Homo sapiens OX=9606 GN=IGHE PE=1 SV=2,IGHE,#N/A,3.3338E+3,#N/A,4.6530E+3,#N/A,2.6433E+3,3.5219E+3,#N/A,#N/A,2.5786E+3,#N/A,2.0828E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P02794|FRIH_HUMAN,Ferritin heavy chain OS=Homo sapiens OX=9606 GN=FTH1 PE=1 SV=2,FTH1,3.7723E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.0972E+3,5.5302E+3,8.2512E+3,8.0496E+3,#N/A,3.4329E+3,8.7792E+3,#N/A,6.9313E+3,#N/A,7.4560E+3,8.1724E+3,1.1283E+4,#N/A,#N/A,8.4775E+3,4.7391E+3,#N/A,7.2328E+3,#N/A,#N/A,1.0545E+4,#N/A,#N/A,#N/A,#N/A,8.3190E+3,#N/A,9.3716E+3,#N/A,#N/A,#N/A,#N/A
sp|P30519|HMOX2_HUMAN,Heme oxygenase 2 OS=Homo sapiens OX=9606 GN=HMOX2 PE=1 SV=2,HMOX2,7.4171E+4,2.0327E+4,5.5882E+4,4.7781E+4,2.1860E+4,4.3893E+4,1.8231E+4,#N/A,1.3059E+4,7.6590E+3,#N/A,6.8265E+3,7.4638E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P39687|AN32A_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1,ANP32A,1.0024E+5,8.2204E+4,7.6577E+4,2.2341E+5,5.5807E+4,5.0947E+4,1.8446E+5,7.4333E+4,1.5911E+5,1.5538E+5,1.5084E+5,1.1345E+5,1.9623E+5,1.8112E+5,1.4250E+5,1.9107E+5,1.2590E+5,8.8957E+4,1.5505E+5,1.5000E+5,#N/A,2.6832E+5,8.3365E+4,1.5668E+5,1.4927E+5,7.1255E+4,7.5697E+4,2.0950E+5,1.8546E+5,#N/A,2.0057E+5,1.3678E+5,1.5638E+5,2.2740E+5,#N/A,1.2585E+5,#N/A,1.2005E+5,#N/A,#N/A,#N/A,#N/A
sp|P41226|UBA7_HUMAN,Ubiquitin-like modifier-activating enzyme 7 OS=Homo sapiens OX=9606 GN=UBA7 PE=1 SV=2,UBA7,4.2719E+6,3.5673E+6,3.5534E+6,3.1608E+6,2.6960E+6,2.3514E+6,2.1890E+6,1.7861E+6,1.7671E+6,1.3289E+6,1.2061E+6,1.1336E+6,5.2460E+5,4.0386E+5,3.7527E+5,3.0688E+5,2.5713E+5,2.6100E+5,1.9284E+5,1.4321E+5,1.8306E+5,7.1795E+4,9.8262E+4,4.2761E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P51570|GALK1_HUMAN,Galactokinase OS=Homo sapiens OX=9606 GN=GALK1 PE=1 SV=1,GALK1,9.1183E+5,7.5238E+5,6.4741E+5,6.8299E+5,5.6663E+5,4.9040E+5,5.3100E+5,3.6307E+5,4.0079E+5,2.8216E+5,1.7502E+5,1.5437E+5,9.3978E+4,5.1594E+4,4.2986E+4,7.2104E+4,5.3530E+4,5.2477E+3,#N/A,#N/A,1.4180E+4,2.2302E+3,#N/A,3.5817E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P52566|GDIR2_HUMAN,Rho GDP-dissociation inhibitor 2 OS=Homo sapiens OX=9606 GN=ARHGDIB PE=1 SV=3,ARHGDIB,5.4744E+6,4.7782E+6,4.3688E+6,4.1494E+6,3.4686E+6,3.2091E+6,3.7218E+6,2.6592E+6,2.7173E+6,2.2449E+6,1.7106E+6,1.5818E+6,1.1286E+6,1.1560E+6,3.2875E+5,8.8350E+5,6.5976E+5,2.3614E+5,2.1200E+5,1.9323E+5,1.8155E+5,1.4305E+5,7.4522E+5,1.0828E+5,2.6328E+4,2.8397E+4,2.4674E+4,1.4396E+4,2.4482E+4,1.8155E+4,2.3586E+4,1.0975E+4,1.2425E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P60985|KTDAP_HUMAN,Keratinocyte differentiation-associated protein OS=Homo sapiens OX=9606 GN=KRTDAP PE=1 SV=1,KRTDAP,2.0693E+5,1.8474E+5,1.4598E+5,1.4716E+5,1.1734E+5,1.5202E+5,1.0716E+5,1.0398E+5,1.0718E+5,6.0293E+4,5.5734E+4,3.4465E+4,1.1021E+4,2.1047E+4,1.2420E+4,1.4252E+4,9.6231E+3,2.9259E+3,#N/A,1.5540E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q13287|NMI_HUMAN,N-myc-interactor OS=Homo sapiens OX=9606 GN=NMI PE=1 SV=2,NMI,2.1076E+5,1.8377E+5,1.6613E+5,1.9030E+5,1.2143E+5,1.4195E+5,1.9590E+5,5.8133E+4,9.7670E+4,3.0655E+4,3.3215E+4,1.4663E+4,2.6436E+3,#N/A,5.9887E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q13561|DCTN2_HUMAN,Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=4,DCTN2,3.3958E+6,2.8973E+6,2.7658E+6,2.4190E+6,2.0186E+6,1.6236E+6,1.5724E+6,1.4632E+6,1.4312E+6,9.2095E+5,7.1925E+5,8.6432E+5,6.6829E+5,3.6397E+5,3.2260E+5,4.9372E+5,3.0791E+5,2.5403E+5,2.4718E+5,1.6133E+5,1.7789E+5,1.6665E+5,3.9156E+4,1.8322E+5,2.9372E+3,#N/A,3.4287E+3,3.0896E+3,#N/A,#N/A,3.8275E+3,1.7098E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q13568|IRF5_HUMAN,Interferon regulatory factor 5 OS=Homo sapiens OX=9606 GN=IRF5 PE=1 SV=2,IRF5,1.4826E+4,7.7875E+3,2.3490E+4,1.5448E+4,6.9332E+3,1.0671E+4,7.4968E+3,5.5707E+3,8.2852E+3,5.0748E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q16719|KYNU_HUMAN,Kynureninase OS=Homo sapiens OX=9606 GN=KYNU PE=1 SV=1,KYNU,5.2724E+3,8.0912E+3,7.2283E+3,5.7271E+3,#N/A,#N/A,4.2814E+3,5.1494E+3,#N/A,#N/A,#N/A,#N/A,#N/A,2.6659E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q68DH5|LMBD2_HUMAN,G-protein coupled receptor-associated protein LMBRD2 OS=Homo sapiens OX=9606 GN=LMBRD2 PE=1 SV=1,LMBRD2,2.5103E+4,3.0898E+4,2.2932E+4,2.2338E+4,1.8415E+4,2.4921E+4,1.4950E+4,8.6185E+3,9.2855E+3,#N/A,1.0275E+4,8.7363E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q6GYQ0|RGPA1_HUMAN,Ral GTPase-activating protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=RALGAPA1 PE=1 SV=1,RALGAPA1,2.0871E+4,2.4120E+4,#N/A,2.7769E+4,4.1115E+3,1.9112E+4,1.6238E+4,1.6166E+4,1.8811E+3,#N/A,#N/A,2.1408E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q6ZMU1|C3P1_HUMAN,Putative protein C3P1 OS=Homo sapiens OX=9606 GN=C3P1 PE=5 SV=3,C3P1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.2578E+4,#N/A,#N/A,3.3456E+4,2.8849E+4,2.6226E+4,2.9400E+4,#N/A,1.5654E+4,#N/A,#N/A,1.8204E+4,#N/A,#N/A,2.6907E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q7Z7F7|RM55_HUMAN,Large ribosomal subunit protein mL55 OS=Homo sapiens OX=9606 GN=MRPL55 PE=1 SV=1,MRPL55,8.0869E+3,1.2121E+4,9.3562E+3,9.1757E+3,6.9938E+3,6.8789E+3,2.1208E+3,4.2894E+3,4.3154E+3,3.8358E+3,3.4180E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q92508|PIEZ1_HUMAN,Piezo-type mechanosensitive ion channel component 1 OS=Homo sapiens OX=9606 GN=PIEZO1 PE=1 SV=4,PIEZO1,3.6891E+4,1.4350E+5,3.7031E+4,2.8369E+4,1.1483E+4,4.9286E+3,4.6368E+4,2.5664E+3,6.0049E+3,#N/A,8.3449E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96RL7|VP13A_HUMAN,Intermembrane lipid transfer protein VPS13A OS=Homo sapiens OX=9606 GN=VPS13A PE=1 SV=2,VPS13A,2.5280E+6,2.0612E+6,2.0675E+6,1.9510E+6,1.7121E+6,1.5669E+6,1.2771E+6,1.3381E+6,1.1953E+6,7.2682E+5,7.4168E+5,6.4754E+5,1.1686E+5,7.0473E+4,1.2816E+5,9.3454E+4,4.9594E+4,3.4336E+4,1.2988E+4,9.7701E+3,1.6936E+4,1.1908E+4,5.1513E+3,2.8343E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9C0B5|ZDHC5_HUMAN,Palmitoyltransferase ZDHHC5 OS=Homo sapiens OX=9606 GN=ZDHHC5 PE=1 SV=2,ZDHHC5,5.1412E+4,5.0066E+4,4.5211E+4,5.0962E+4,3.1658E+4,3.0213E+4,3.2521E+4,2.8156E+4,1.9658E+4,2.0223E+4,1.4298E+4,4.2784E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H244|P2Y12_HUMAN,P2Y purinoceptor 12 OS=Homo sapiens OX=9606 GN=P2RY12 PE=1 SV=1,P2RY12,9.6998E+3,1.3233E+4,1.1672E+4,8.8239E+3,1.0250E+4,6.1627E+3,#N/A,6.8125E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H4X1|RGCC_HUMAN,Regulator of cell cycle RGCC OS=Homo sapiens OX=9606 GN=RGCC PE=1 SV=1,RGCC,3.4497E+5,3.1278E+5,2.9274E+5,3.0633E+5,2.3158E+5,2.1969E+5,2.0108E+5,1.4504E+5,1.5458E+5,8.8993E+4,7.6671E+4,8.0557E+4,3.4308E+4,2.3693E+4,2.1444E+4,2.0124E+4,1.3448E+4,8.9951E+3,1.0621E+4,3.0498E+3,9.7742E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.6338E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H8Y8|GORS2_HUMAN,Golgi reassembly-stacking protein 2 OS=Homo sapiens OX=9606 GN=GORASP2 PE=1 SV=3,GORASP2,1.2963E+5,1.0609E+5,9.9222E+4,1.0615E+5,8.1878E+4,7.7290E+4,5.3495E+4,5.0458E+4,4.1661E+4,3.5029E+4,2.6583E+4,4.0406E+4,7.0919E+3,5.5106E+3,7.3429E+3,7.1697E+3,8.2315E+3,5.4278E+3,#N/A,5.1753E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9HD33|RM47_HUMAN,Large ribosomal subunit protein uL29m OS=Homo sapiens OX=9606 GN=MRPL47 PE=1 SV=2,MRPL47,3.3518E+4,3.1855E+4,2.7655E+4,3.0501E+4,1.7107E+4,1.6148E+4,2.2599E+4,1.0716E+4,1.9837E+4,4.1571E+3,6.7553E+3,2.6445E+3,2.5702E+3,1.0132E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9P2E9|RRBP1_HUMAN,Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5,RRBP1,1.2204E+6,9.9406E+5,9.7138E+5,9.5056E+5,6.4877E+5,7.4383E+5,6.3172E+5,4.4635E+5,4.7398E+5,4.0365E+5,2.9612E+5,2.9857E+5,2.8816E+4,6.1593E+4,1.8698E+4,2.0491E+4,1.1737E+4,5.5814E+3,1.8652E+4,1.0503E+4,8.4997E+3,1.1187E+4,#N/A,4.0724E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O15551|CLD3_HUMAN,Claudin-3 OS=Homo sapiens OX=9606 GN=CLDN3 PE=1 SV=1,CLDN3,1.2318E+5,1.4861E+5,1.3934E+5,1.6790E+5,1.2718E+5,1.0951E+5,9.8331E+4,1.0313E+5,7.4364E+4,9.6912E+4,7.6211E+4,9.9160E+4,9.7284E+4,4.0835E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P02647|APOA1_HUMAN,Apolipoprotein A-I OS=Homo sapiens OX=9606 GN=APOA1 PE=1 SV=1,APOA1,9.6201E+8,8.2966E+8,7.9091E+8,7.3577E+8,6.0139E+8,5.7370E+8,5.5204E+8,4.4244E+8,4.1590E+8,3.3100E+8,2.8520E+8,2.6364E+8,1.2349E+8,9.7860E+7,8.7324E+7,8.3855E+7,6.7512E+7,6.3436E+7,5.6626E+7,4.7782E+7,4.5850E+7,3.5276E+7,2.8776E+7,2.7901E+7,1.3335E+7,1.0050E+7,9.1973E+6,8.6805E+6,7.4353E+6,7.0229E+6,6.5996E+6,5.4950E+6,4.8180E+6,4.6267E+6,3.1881E+6,2.9451E+6,1.4412E+6,9.0494E+5,9.3274E+5,#N/A,#N/A,#N/A
sp|P02775|CXCL7_HUMAN,Platelet basic protein OS=Homo sapiens OX=9606 GN=PPBP PE=1 SV=3,PPBP,2.5992E+8,2.1926E+8,2.2101E+8,1.9584E+8,1.6185E+8,1.5356E+8,1.3606E+8,1.1290E+8,1.1587E+8,8.2023E+7,7.1069E+7,6.2690E+7,3.2999E+7,2.5226E+7,2.2789E+7,1.4918E+7,1.8004E+7,1.1721E+7,1.5152E+7,1.1977E+7,1.2330E+7,8.8234E+6,6.9936E+6,7.3283E+6,3.2105E+6,2.4040E+6,2.3311E+6,2.1915E+6,1.7779E+6,1.6731E+6,1.4702E+6,1.1688E+6,1.1799E+6,1.0383E+6,8.5877E+5,6.9847E+5,3.8849E+5,3.0128E+5,2.3913E+5,#N/A,#N/A,#N/A
sp|P09525|ANXA4_HUMAN,Annexin A4 OS=Homo sapiens OX=9606 GN=ANXA4 PE=1 SV=4,ANXA4,7.4484E+5,6.8032E+5,6.2898E+5,5.7920E+5,4.7190E+5,3.9965E+5,3.6810E+5,3.2791E+5,3.1536E+5,2.1810E+5,1.7639E+5,2.6358E+5,4.6381E+4,6.0712E+4,4.2852E+4,3.6194E+4,3.6600E+4,8.8205E+3,1.0262E+4,1.3101E+4,1.8024E+4,#N/A,5.2264E+3,1.1205E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P15927|RFA2_HUMAN,Replication protein A 32 kDa subunit OS=Homo sapiens OX=9606 GN=RPA2 PE=1 SV=1,RPA2,7.6248E+3,8.3114E+3,6.4181E+3,4.9117E+3,5.2539E+3,3.7971E+3,4.8821E+3,3.7872E+3,3.6072E+3,2.7678E+3,#N/A,2.2524E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P18031|PTN1_HUMAN,Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens OX=9606 GN=PTPN1 PE=1 SV=1,PTPN1,1.0606E+6,9.7033E+5,8.5115E+5,7.9276E+5,6.0012E+5,5.9712E+5,4.6313E+5,4.4071E+5,4.2656E+5,2.9413E+5,2.8456E+5,2.4787E+5,6.8510E+4,5.4334E+4,4.5817E+4,4.6086E+4,3.6892E+4,3.8384E+4,2.3278E+4,1.9467E+4,1.9374E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.2185E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P18428|LBP_HUMAN,Lipopolysaccharide-binding protein OS=Homo sapiens OX=9606 GN=LBP PE=1 SV=3,LBP,1.7298E+7,1.5002E+7,1.3870E+7,1.2867E+7,1.0887E+7,1.0230E+7,9.7652E+6,8.2778E+6,7.1006E+6,5.9600E+6,4.8988E+6,4.5323E+6,2.3094E+6,1.7640E+6,1.5323E+6,1.5304E+6,1.2069E+6,1.0201E+6,1.0044E+6,8.8507E+5,7.9446E+5,6.0838E+5,5.0609E+5,4.3721E+5,2.3662E+5,1.6257E+5,1.2957E+5,1.3952E+5,1.0920E+5,1.0284E+5,7.0199E+4,7.0553E+4,5.6652E+4,5.6050E+4,6.7626E+3,1.6500E+4,#N/A,1.7611E+3,1.8778E+3,#N/A,#N/A,#N/A
sp|P22748|CAH4_HUMAN,Carbonic anhydrase 4 OS=Homo sapiens OX=9606 GN=CA4 PE=1 SV=2,CA4,2.8885E+3,8.3990E+3,1.9775E+3,1.6986E+3,3.0312E+3,2.0364E+3,#N/A,3.8604E+3,1.8688E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P25686|DNJB2_HUMAN,DnaJ homolog subfamily B member 2 OS=Homo sapiens OX=9606 GN=DNAJB2 PE=1 SV=3,DNAJB2,2.7207E+5,2.7111E+5,2.5996E+5,3.7936E+5,2.7482E+5,2.1117E+5,2.4770E+5,9.4054E+4,1.9175E+5,1.2744E+5,1.5315E+5,1.0610E+5,6.3623E+4,1.0078E+4,5.3992E+3,#N/A,4.8124E+3,#N/A,1.2096E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P26572|MGAT1_HUMAN,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Homo sapiens OX=9606 GN=MGAT1 PE=1 SV=2",MGAT1,2.3079E+5,2.0116E+5,2.0797E+5,1.6847E+5,1.5179E+5,1.3972E+5,1.3320E+5,1.2700E+5,1.0523E+5,6.8798E+4,3.6408E+4,3.7463E+4,4.5590E+3,4.0147E+3,2.9145E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.2981E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q06830|PRDX1_HUMAN,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,PRDX1,4.1929E+6,3.9907E+6,3.5139E+6,3.4273E+6,2.7027E+6,2.5588E+6,2.4993E+6,1.8234E+6,1.8241E+6,1.5409E+6,1.2438E+6,1.2231E+6,7.3121E+5,5.4303E+5,4.9357E+5,4.4780E+5,3.6908E+5,3.1586E+5,2.9287E+5,2.5861E+5,2.4191E+5,1.8524E+5,3.0870E+5,1.2915E+5,3.7349E+4,4.2542E+4,4.1935E+4,3.3579E+4,2.7199E+4,3.3635E+4,2.7869E+4,2.6989E+4,6.0645E+3,1.6325E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q13336|UT1_HUMAN,Urea transporter 1 OS=Homo sapiens OX=9606 GN=SLC14A1 PE=1 SV=2,SLC14A1,4.0153E+4,9.2986E+4,9.6601E+4,#N/A,9.6004E+4,#N/A,7.7683E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q13618|CUL3_HUMAN,Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=2,CUL3,1.4679E+4,1.5872E+4,1.5754E+4,1.2236E+4,1.3307E+4,9.9469E+3,9.0982E+3,1.0484E+4,1.1698E+4,8.1085E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
